income_group,target_pop,hs_constraints,R0,Rt1,Rt2,tt_Rt1,tt_Rt2,tt_Rt1_stop,time_period,vaccine_doses,max_coverage,age_groups_covered,vacc_start,dt,repetition,seeding_cases,variant_fold_reduction,dose_3_fold_increase,scenario
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0.8,9,360,1,14,20,1,4,114
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0.8,9,360,1,15,20,1,4,115
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0.8,9,360,1,16,20,1,4,116
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0.8,9,360,1,17,20,1,4,117
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0.8,9,360,1,18,20,1,4,118
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0.8,9,360,1,19,20,1,4,119
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,2,0.8,9,360,1,20,20,1,4,120
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,1,20,1,4,121
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,2,20,1,4,122
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,3,20,1,4,123
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,4,20,1,4,124
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,5,20,1,4,125
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,6,20,1,4,126
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,7,20,1,4,127
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,8,20,1,4,128
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,9,20,1,4,129
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,10,20,1,4,130
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,11,20,1,4,131
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,12,20,1,4,132
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,13,20,1,4,133
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,14,20,1,4,134
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,15,20,1,4,135
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,16,20,1,4,136
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,17,20,1,4,137
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,18,20,1,4,138
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,19,20,1,4,139
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,5,360,1,20,20,1,4,140
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,1,20,1,4,141
LMIC,1000000,Present,2,1.2,3,60,480,390,1210,3,0.8,9,360,1,2,20,1,4,142
