"","income_group","target_pop","hs_constraints","R0","Rt1","Rt2","tt_Rt1","tt_Rt2","tt_Rt1_stop","time_period","vaccine_doses","max_coverage","age_groups_covered","vacc_start","dt","repetition","seeding_cases","variant_fold_reduction","dose_3_fold_increase","scenario"
"18","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,8,360,0.2,8,20,4,6,18
"19","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,8,360,0.2,9,20,4,6,19
"20","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,8,360,0.2,10,20,4,6,20
"21","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,1,20,4,6,21
"22","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,2,20,4,6,22
"23","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,3,20,4,6,23
"24","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,4,20,4,6,24
"25","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,5,20,4,6,25
"26","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,6,20,4,6,26
"27","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,7,20,4,6,27
"28","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,8,20,4,6,28
"29","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,9,20,4,6,29
"30","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,10,20,4,6,30
"31","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,1,20,4,6,31
"32","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,2,20,4,6,32
"33","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,3,20,4,6,33
"34","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,4,20,4,6,34
"35","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,5,20,4,6,35
"36","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,6,20,4,6,36
"37","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,7,20,4,6,37
"38","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,8,20,4,6,38
"39","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,9,20,4,6,39
"40","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,10,20,4,6,40
"41","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,5,360,0.2,1,20,4,6,41
"42","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,5,360,0.2,2,20,4,6,42
"43","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,5,360,0.2,3,20,4,6,43
"44","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,5,360,0.2,4,20,4,6,44
"45","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,5,360,0.2,5,20,4,6,45
"46","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,5,360,0.2,6,20,4,6,46
"47","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,5,360,0.2,7,20,4,6,47
"48","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,5,360,0.2,8,20,4,6,48
"49","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,5,360,0.2,9,20,4,6,49
"50","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,5,360,0.2,10,20,4,6,50
"51","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,8,360,0.2,1,20,4,6,51
"52","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,8,360,0.2,2,20,4,6,52
"53","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,8,360,0.2,3,20,4,6,53
"54","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,8,360,0.2,4,20,4,6,54
"55","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,8,360,0.2,5,20,4,6,55
"56","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,8,360,0.2,6,20,4,6,56
"57","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,8,360,0.2,7,20,4,6,57
"58","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,8,360,0.2,8,20,4,6,58
"59","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,8,360,0.2,9,20,4,6,59
"60","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0.8,8,360,0.2,10,20,4,6,60
"61","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,1,20,4,6,61
"62","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,2,20,4,6,62
"63","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,3,20,4,6,63
"64","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,4,20,4,6,64
"65","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,5,20,4,6,65
"66","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,6,20,4,6,66
"67","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,7,20,4,6,67
"68","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,8,20,4,6,68
"69","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,9,20,4,6,69
"70","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,5,360,0.2,10,20,4,6,70
"71","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,1,20,4,6,71
"72","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,2,20,4,6,72
"73","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,3,20,4,6,73
"74","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,4,20,4,6,74
"75","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,5,20,4,6,75
"76","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,6,20,4,6,76
"77","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,7,20,4,6,77
"78","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,8,20,4,6,78
"79","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,9,20,4,6,79
"80","LMIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,3,0.8,8,360,0.2,10,20,4,6,80
"81","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,1,20,4,6,81
"82","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,2,20,4,6,82
"83","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,3,20,4,6,83
"84","HIC",1e+06,"Present",2.5,1.4,3,60,480,390,1210,2,0,1,360,0.2,4,20,4,6,84
